probe_id,GSM178746,GSM180372,GSM180373,GSM180374,GSM180375,GSM180376,GSM180377,GSM180378,GSM180379,GSM180380,GSM180381,GSM180382,GSM180383,GSM180384,GSM180385,GSM180386,GSM180387,GSM180388,GSM180389,GSM180390
204285_s_at,858.725,6068.85,3612.1,409.731,487.841,3140.51,3366.07,324.359,617.791,2483.8,2570.3,4218.82,3860.47,1849.76,10400.5,4056.52,3024.54,1009.34,5706.17,2162.93
204286_s_at,1834.01,974.961,3655.64,569.897,408.165,1530.55,3578.58,3826.19,6427.1,6342.25,7292.63,9856.83,8794.1,7249.27,6918.85,4294.98,4603.51,169.219,14867.1,5025.92
204287_at,896.764,4114.25,541.253,941.194,292.148,2083.4,3630.95,8094.54,3575.41,3623.32,8247.17,1658.89,1179.93,511.849,4057.13,247.727,422.57,455.314,689.539,901.596
204288_s_at,4634.42,2323,989.733,4325.9,3955.8,1728.24,1014,343.266,2499.94,2089.71,1176.01,303.364,1009.6,939.479,5819.75,630.923,302.153,665.293,517.601,656.014
204289_at,561.376,289.263,407.869,799.613,490.165,5014.24,211.521,314.781,1849.01,254.293,255.237,260.732,176.782,1124.7,321.64,1219.47,2004.26,288.616,168.321,274.405
204290_s_at,2985.93,7623.81,1124.16,2517.23,1289.77,1569.91,395.635,7433.46,1737.77,7903.87,372.753,3663.43,1131.91,660.449,2058.09,471.173,1198.42,4376.93,252.376,273.457
204291_at,8962.42,627.871,425.291,1012.29,375.388,758.795,6121.86,199.909,1007.59,3659,806.201,2330.53,385.932,3079.35,412.908,2124.2,5728.28,254.243,111.01,4979.78
204292_x_at,3446.38,733.25,1208.23,491.642,323.781,348.201,2599.22,460.759,253.591,673.352,460.337,3844.15,1995.33,1690.21,1896.51,869.927,1148.84,578.864,572.015,518.249
204293_at,678.753,391.685,1959.09,1010.03,301.513,1239.01,7576.47,2822.01,1260.92,203.571,379.756,399.069,1730,348.269,255.812,5179.18,307.671,3188.36,170.823,423.599
204294_at,810.07,253.369,1727.03,3298.49,4553.25,12518.4,7061.46,306.241,1872.87,8213.9,6222.97,468.666,5301.48,1311.5,3766.1,388.98,4477.15,343.827,4250.32,329.4
204295_at,2346.77,14409.7,371.52,403.065,410.332,495.286,4022.3,9745.3,5426.79,14908.1,370.441,11878.6,19844.4,12163.2,765.975,399.043,5412.68,756.694,17586.8,7404.92
204296_at,279.415,271.902,3755.17,2511.88,552.335,463.12,1380.09,4792.54,2969.68,1975.59,3678.31,749.576,7283.41,244.251,6784.08,7429.58,392.298,1728.1,269.381,267.78
204297_at,1659.51,967.495,485.349,9629.23,326.162,2764.74,3017.53,1547.05,5724.6,5899.03,2009.23,2443.78,2836.32,4071.29,3784.45,348.099,305.143,6847.98,12101.2,4506.17
204298_s_at,364.454,1633.3,780.016,741.973,213.615,2716.09,2793.14,265.144,195.39,975.284,1271.28,283.426,3766.78,810.335,317.127,353.62,346.366,667.436,140.14,563.139
204299_at,372.294,2878.19,9461.97,580.832,7699.11,659.453,832.612,7513.87,431.14,1859.68,274.439,3575.37,187.547,3146.03,748.259,557.744,3400.08,243.582,2555.01,5430.94
204300_at,964.962,8182.64,932.394,3900.46,2644.21,604.969,1048.88,296.893,6540.83,2489.77,340.071,3360.81,3477.47,2623.13,212.626,5705.98,5846.67,286.995,571.79,331.61
204301_at,1350,1145.8,430.122,897.835,2246.22,617.396,3353.67,575.022,456.209,1875.8,363.862,442.642,864.483,636.364,4120.6,406.492,1162.56,5342.05,2977.37,227.34
204302_s_at,335.644,1026.32,5178.25,480.642,791.713,6564.78,5835.27,359.849,354.005,1104.93,459.462,2861.71,1368.81,788.722,3150.62,6909.83,206.598,550.188,693.776,5777.59
204303_s_at,2325.07,610.264,6208.9,9864.02,4266.47,4036.17,301.737,5346.78,806.033,567.896,313.797,6055.87,691.725,912.552,7304.92,4415.09,6442.44,1264.21,1339.02,814.501
204304_s_at,520.771,1339.32,526.2,4040.03,961.032,5565.06,412.137,815.446,4402.91,10786.5,1021.59,371.547,230.91,4882.58,8674.9,518.455,3962.05,7977.49,354.72,394.795
