logFC,AveExpr,t,P.Value,adj.P.Val,B,probe_id
313771.8193,168061.04035,3.39166814601696,0.0027440942744739,0.731082439222801,-4.59505615261244,229450_at
-3072.1784,2442.6117,-3.39092379040851,0.00274889566442023,0.731082439222801,-4.5950561733554,211544_s_at
-2846.9821,1948.35295,-3.38755867359201,0.00277070475497687,0.731082439222801,-4.59505626715454,214809_at
-3214.8148,2586.561,-3.38485357052887,0.00278835896006894,0.731082439222801,-4.59505634258427,222112_at
3263.6096,3569.3098,3.38409768145755,0.00279331172241013,0.731082439222801,-4.59505636366608,232035_at
-3293.2374,3415.6676,-3.38385130655413,0.00279492788680353,0.731082439222801,-4.59505637053791,215856_at
-2419.7688,2025.7795,-3.37701145321761,0.00284016266314628,0.731082439222801,-4.59505656139509,230095_at
-2851.1339,2358.07945,-3.37651666659191,0.00284346251407614,0.731082439222801,-4.59505657520756,233544_at
-4219.4652,3830.1494,-3.37385312135971,0.00286129083984416,0.731082439222801,-4.59505664957719,225285_at
-164390.1,342955.35,-3.3726989655365,0.00286905002470688,0.731082439222801,-4.59505668181008,AFFX-r2-Ec-bioB-M_at
3859.7359,3546.06455,3.36926677122938,0.0028922457858866,0.731082439222801,-4.59505677768955,1562481_at
2334.5534,1921.6526,3.36661165519896,0.00291031547989741,0.731082439222801,-4.59505685188798,230190_at
3697.6545,3931.27745,3.36169254153952,0.00294408507821338,0.731082439222801,-4.59505698941664,203033_x_at
5248.5022,5391.9989,3.35603363957904,0.00298340703629432,0.731082439222801,-4.59505714772718,222745_s_at
3197.9548,4080.7685,3.35580914843195,0.00298497749144227,0.731082439222801,-4.5950571540096,214025_at
3634.8756,4089.9034,3.35391315519536,0.00299827339685472,0.731082439222801,-4.5950572070759,206764_x_at
-3697.3825,3107.18095,-3.35207255701014,0.00301123617295984,0.731082439222801,-4.59505725860304,239470_at
-3166.9606,3708.8497,-3.35182482506368,0.00301298504876501,0.731082439222801,-4.59505726553908,1562219_at
2293.7071,2219.69895,3.3475874931302,0.00304305277008871,0.731082439222801,-4.59505738420781,1562446_at
3875.5365,3761.90055,3.34498082754919,0.00306169481226623,0.731082439222801,-4.59505745723795,238787_at
3706.0538,3098.3983,3.34409304783355,0.00306806935461525,0.731082439222801,-4.59505748211564,204369_at
2367.8743,1980.45115,3.3440291396072,0.00306852873587265,0.731082439222801,-4.5950574839066,205191_at
5606.8466,5317.9972,3.34402624535837,0.00306854954172732,0.731082439222801,-4.59505748398771,204542_at
2905.4579,3315.91945,3.34328907521279,0.00307385331706618,0.731082439222801,-4.59505750464707,218901_at
3066.7807,2620.97205,3.34137901994308,0.00308763742124765,0.731082439222801,-4.59505755818501,205877_s_at
3218.0966,2653.6308,3.34028505435845,0.00309555929716163,0.731082439222801,-4.59505758885367,1555393_s_at
9238.5849,6881.81645,3.3389935508868,0.00310493717614431,0.731082439222801,-4.59505762506517,204780_s_at
2607.2179,2212.63575,3.33889497310805,0.00310565410849862,0.731082439222801,-4.59505762782934,1567320_at
-3434.8323,2265.80965,-3.33778650692023,0.00311372684997537,0.731082439222801,-4.59505765891344,240313_at
-2266.5522,1446.2338,-3.33699257215227,0.00311952150905828,0.731082439222801,-4.59505768117975,237690_at
5311.0095,5215.64225,3.3352899478764,0.00313198390355843,0.731082439222801,-4.59505772893758,222127_s_at
16097.3727,14400.46165,3.33310352126042,0.00314805879895887,0.731082439222801,-4.59505779027953,235964_x_at
-3718.8219,2576.96675,-3.33015129646932,0.00316989178643279,0.731082439222801,-4.59505787313094,219773_at
4247.3525,5320.96475,3.33013432512112,0.00317001772319668,0.731082439222801,-4.5950578736073,223298_s_at
-3127.9651,3046.76095,-3.32979882626227,0.00317250831248115,0.731082439222801,-4.59505788302455,242513_x_at
4592.8333,4314.05475,3.32796110706036,0.0031861846137975,0.731082439222801,-4.59505793461458,204745_x_at
-3435.3385,3343.52835,-3.3275747071662,0.00318906751325669,0.731082439222801,-4.5950579454633,212399_s_at
-3041.5801,2696.29445,-3.32606538476738,0.00320035286235032,0.731082439222801,-4.59505798784423,244320_at
-3181.6728,2536.277,-3.32573558098881,0.003202824020553,0.731082439222801,-4.59505799710591,200658_s_at
